Name,IP,K/9,BB/9,HR/9,BABIP,GB%,HR/FB,GB/FB,ERA,xERA,ERA-,SIERA,FIP,xFIP,FIP-,xFIP-,WAR,AVG,WHIP,WPA,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,K%,BB%,playerid
J.P. Feyereisen,47.2,8.12,5.66,0.94,0.211,37.10%,8.80%,0.81,3.02,4.44,72,5.12,4.61,5.38,111,126,-0.1,0.181,1.28,0.6,33.80%,74.50%,48.00%,57.40%,75.90%,67.40%,34.90%,62.20%,15.60%,21.40%,14.90%,16610
Pablo Lopez,101,9.89,2.23,0.89,0.293,47.30%,12.30%,1.54,3.03,3.54,77,3.51,3.2,3.34,78,79,2.3,0.225,1.09,1.31,37.40%,67.00%,50.30%,67.20%,84.60%,77.30%,43.50%,63.10%,11.40%,27.10%,6.10%,17085
Juan Minaya,32.2,9.64,4.68,1.1,0.238,52.40%,14.80%,1.59,3.03,3.38,69,4.11,4.36,4.24,102,99,0,0.193,1.22,0.79,30.70%,72.30%,46.60%,64.00%,85.60%,76.80%,38.30%,52.90%,10.80%,25.40%,12.30%,10341
Cal Quantrill,130.1,7.32,2.9,0.97,0.271,44.30%,11.20%,1.33,3.04,4.05,68,4.51,4.11,4.42,96,103,1.6,0.233,1.2,1.68,31.10%,70.20%,47.00%,72.30%,86.10%,80.70%,40.80%,66.30%,9.10%,19.60%,7.80%,19312
Aaron Sanchez,35.1,6.62,3.82,0.51,0.275,52.30%,5.90%,1.71,3.06,3.89,76,4.96,4.04,5.02,100,119,0.4,0.234,1.33,0.31,25.60%,67.80%,42.50%,70.30%,88.90%,82.20%,40.20%,49.40%,7.60%,16.70%,9.60%,11490
Gregory Soto,61.2,10.65,5.55,1.02,0.252,45.00%,12.30%,1.19,3.06,3.59,69,4.26,4.17,4.34,96,101,0.5,0.194,1.33,2.37,29.30%,64.40%,45.00%,50.60%,81.90%,70.70%,44.90%,58.60%,13.20%,27.40%,14.30%,19677
Seth Lugo,41,10.1,3.51,0.88,0.298,42.50%,12.10%,1.36,3.07,4.35,78,3.61,3.43,3.6,82,85,0.5,0.227,1.24,1.33,31.80%,67.00%,47.30%,54.40%,84.00%,72.80%,43.80%,66.10%,12.90%,26.90%,9.40%,12447
Jack Flaherty,76,9.59,2.84,1.3,0.229,38.60%,14.90%,1.03,3.08,4.75,77,3.92,4.1,3.95,99,93,1,0.193,1.03,1.34,27.40%,68.90%,44.70%,59.10%,82.80%,74.40%,41.60%,58.70%,11.50%,26.10%,7.70%,17479
Steve Cishek,61.1,8.36,5.43,0.29,0.303,47.70%,3.30%,1.38,3.08,3.64,71,4.85,3.78,5.13,87,119,0.7,0.235,1.5,0.95,27.40%,63.40%,41.20%,72.30%,88.20%,81.70%,38.40%,57.20%,7.50%,20.70%,13.40%,6483
Hirokazu Sawamura,46.2,10.41,5.59,1.74,0.255,49.20%,20.90%,1.35,3.09,4.66,68,4.32,5.35,4.48,126,104,-0.4,0.214,1.41,0.49,34.10%,73.30%,47.40%,51.30%,79.60%,66.30%,34.20%,49.00%,16.00%,26.50%,14.20%,27515
Brent Suter,67,9,2.82,1.21,0.299,53.40%,16.40%,1.87,3.09,3.51,74,3.56,3.89,3.61,92,85,0.4,0.247,1.28,-0.12,31.60%,71.30%,48.40%,65.00%,91.30%,81.40%,42.30%,63.20%,9.00%,23.50%,7.40%,13942
Eric Lauer,101.2,8.76,3.01,1.15,0.259,36.10%,11.70%,0.91,3.1,4.05,74,4.24,3.94,4.22,93,100,1.5,0.218,1.16,1.23,29.80%,72.00%,48.60%,68.40%,83.70%,78.50%,44.60%,60.70%,10.50%,23.50%,8.10%,19316
Corey Knebel,20.1,9.74,3.54,0.89,0.255,48.10%,12.50%,1.56,3.1,3.46,78,3.73,3.46,3.58,83,84,0.3,0.2,1.13,0.6,28.20%,73.00%,48.60%,60.00%,80.60%,74.10%,45.50%,59.00%,12.60%,26.50%,9.60%,15010
Sandy Alcantara,188.2,8.83,2.29,0.91,0.264,52.10%,12.80%,1.81,3.1,3.46,79,3.72,3.4,3.49,83,82,3.8,0.214,1.05,2.43,36.40%,73.10%,52.80%,59.30%,84.10%,74.70%,44.80%,62.50%,13.40%,24.30%,6.30%,18684
Ryan Burr,29,7.14,4.66,0.93,0.234,55.80%,14.30%,2.05,3.1,4.23,72,4.71,4.58,4.52,105,105,0.1,0.204,1.24,-0.15,24.30%,67.00%,43.60%,56.70%,89.70%,79.60%,45.10%,60.50%,8.90%,19.30%,12.60%,17536
Joe Kelly,37.2,9.8,2.63,0.72,0.235,57.00%,13.60%,2.59,3.11,3.46,78,3.08,3.14,3.14,75,74,0.5,0.183,0.98,1.39,29.90%,59.30%,43.20%,47.50%,86.40%,71.60%,45.20%,59.00%,12.30%,26.30%,7.10%,9761
Paul Sewald,52,14.88,2.77,1.38,0.284,25.70%,14.30%,0.5,3.12,2.91,74,2.2,2.78,2.69,66,63,1.4,0.189,1.02,1.86,35.10%,69.30%,51.10%,48.80%,77.30%,66.90%,46.80%,60.40%,16.90%,40.60%,7.50%,13892
Lance McCullers Jr.,144.1,10.48,4.3,0.75,0.278,55.10%,12.00%,2,3.12,3.43,75,4.03,3.56,3.71,85,87,2.7,0.206,1.24,2.12,28.10%,61.20%,41.70%,48.50%,86.90%,71.70%,41.20%,56.90%,11.80%,27.50%,11.30%,14120
Aaron Ashby,23,9,2.74,0.78,0.233,67.20%,18.20%,3.73,3.13,2.75,75,3.11,3.21,2.93,76,69,0.4,0.188,1,0.41,38.10%,55.70%,45.90%,56.00%,85.20%,71.80%,44.50%,63.00%,13.00%,25.00%,7.60%,23550
Jose Ruiz,57.1,8.95,3.92,1.1,0.228,41.30%,11.50%,1.05,3.14,4.56,73,4.14,4.07,4.38,94,102,0.3,0.192,1.15,-0.49,28.60%,71.80%,47.80%,63.00%,85.00%,77.70%,44.40%,60.10%,10.70%,23.90%,10.50%,14552
Tony Santillan,34.1,11.53,4.46,1.57,0.288,34.90%,18.20%,0.88,3.15,4.59,74,3.87,4.88,4.32,112,102,0.1,0.223,1.34,0.68,31.60%,63.80%,43.30%,52.00%,85.10%,69.70%,36.20%,53.60%,13.10%,28.80%,11.10%,19926
Cole Sulser,54.1,11.26,3.64,0.83,0.305,39.30%,9.10%,0.96,3.15,3.41,72,3.38,3.07,3.68,69,86,1.1,0.221,1.23,-0.54,35.30%,70.70%,50.30%,58.20%,78.90%,70.60%,42.30%,60.20%,14.80%,30.10%,9.70%,15256
Tyler Gilbert,40,5.63,2.93,0.9,0.211,38.60%,8.30%,0.92,3.15,3.67,75,5.21,4.26,5.1,101,121,0.5,0.196,1.03,-0.07,30.40%,74.10%,52.30%,73.60%,87.90%,83.80%,50.20%,61.10%,8.50%,15.90%,8.30%,17964
Jake Diekman,54,12.33,4.83,1.17,0.284,33.30%,13.20%,0.75,3.17,4.03,76,3.55,3.88,3.95,93,92,0.3,0.203,1.28,-0.48,29.70%,67.20%,44.90%,52.30%,80.20%,69.20%,40.50%,59.40%,13.80%,32.30%,12.70%,5003
Jake Brentz,59.2,10.56,5.43,1.06,0.223,47.90%,13.50%,1.31,3.17,4.41,71,4.22,4.4,4.43,104,103,0.1,0.176,1.24,-0.4,25.90%,66.90%,42.90%,53.50%,81.40%,71.60%,41.60%,55.60%,12.20%,27.20%,14.00%,17783
Joel Payamps,39.2,7.03,2.95,0.91,0.259,43.10%,8.00%,1,3.18,2.78,71,4.4,3.97,4.9,97,114,0.3,0.224,1.16,0.09,33.20%,69.60%,47.80%,74.00%,81.40%,78.30%,40.00%,52.20%,10.30%,19.30%,8.10%,14332
Cristian Javier,93,11.52,4.84,1.35,0.237,26.50%,13.60%,0.54,3.19,4.5,77,3.99,4.3,4.32,103,101,0.7,0.184,1.19,1.24,27.80%,73.20%,45.50%,55.80%,79.90%,70.90%,39.00%,48.10%,13.20%,30.90%,13.00%,17606
Michael Lorenzen,19.2,7.32,3.66,0.92,0.255,48.20%,13.30%,1.8,3.2,3.89,75,4.33,4.08,4.11,94,97,0.1,0.219,1.22,0.9,35.40%,68.50%,48.70%,52.20%,87.40%,72.10%,40.20%,84.00%,13.60%,19.80%,9.90%,14843
Chris Bassitt,151,9.18,2.09,0.89,0.273,42.80%,9.90%,1.15,3.22,3.51,77,3.77,3.33,3.83,80,89,3.2,0.218,1.05,2.13,29.90%,67.30%,48.00%,64.90%,85.20%,78.70%,48.40%,62.80%,10.20%,25.20%,5.70%,12304
Huascar Ynoa,72.2,9.66,2.35,1.24,0.246,47.80%,16.40%,1.46,3.22,4.17,76,3.59,3.71,3.42,89,81,1.3,0.202,1,0.98,33.30%,64.40%,46.50%,52.50%,87.90%,73.20%,42.30%,60.20%,12.40%,27.00%,6.60%,20468
Darwinzon Hernandez,36.1,12.14,6.94,0.99,0.266,46.90%,15.40%,1.46,3.22,4.23,71,4.41,4.54,4.38,107,102,0,0.189,1.46,-0.03,19.90%,63.70%,40.40%,65.30%,74.30%,71.90%,46.70%,54.30%,11.30%,29.90%,17.10%,19848
Drew Rasmussen,61,9.59,3.39,0.59,0.282,46.70%,8.00%,1.54,3.25,3.59,78,3.83,3.02,3.62,73,85,1.2,0.216,1.2,0.28,29.10%,67.00%,45.30%,63.70%,81.60%,75.10%,42.80%,66.30%,11.30%,25.50%,9.00%,25385
Adrian Houser,127.1,6.93,4.1,0.78,0.255,59.60%,13.90%,2.75,3.25,4.14,78,4.67,4.3,4.28,102,101,1.3,0.219,1.26,0.64,29.60%,65.40%,43.70%,71.70%,91.10%,83.10%,39.20%,58.80%,7.40%,18.30%,10.80%,12718
Tim Mayza,47,9,1.91,0.77,0.262,62.90%,15.40%,3,3.26,2.98,73,2.79,3.03,2.91,75,68,0.7,0.208,0.98,0.77,32.60%,63.50%,45.20%,59.20%,91.60%,77.80%,40.80%,62.70%,10.00%,25.40%,5.40%,15042
Framber Valdez,116,8.46,3.88,0.78,0.275,69.20%,20.40%,4.59,3.26,3.72,78,3.81,3.96,3.59,94,84,1.6,0.223,1.27,0.51,27.90%,62.00%,42.10%,55.30%,89.10%,76.00%,41.70%,54.50%,10.10%,22.00%,10.10%,17295
Shane Bieber,90.2,12.9,3.28,1.09,0.337,44.40%,15.90%,1.39,3.28,3.83,73,3.18,3.1,2.87,73,67,2.4,0.231,1.25,1.34,35.70%,64.30%,47.80%,42.40%,82.80%,65.40%,42.30%,62.40%,16.50%,33.90%,8.60%,19427
Giovanny Gallegos,71.1,10.6,2.02,0.63,0.25,33.10%,6.50%,0.71,3.28,3.31,82,2.95,2.64,3.65,63,86,2,0.182,0.87,1.86,38.00%,72.30%,51.70%,48.00%,85.10%,68.80%,40.10%,61.80%,16.10%,30.50%,5.80%,14986
Chad Green,74,10.58,1.82,1.58,0.233,28.60%,13.80%,0.53,3.28,3.09,76,2.95,3.7,3.68,85,86,1.4,0.194,0.89,0.36,34.70%,73.30%,52.30%,58.50%,77.00%,70.30%,45.50%,64.00%,15.50%,31.30%,5.40%,15552
Carlos Hernandez,76.2,8.22,3.99,0.7,0.259,40.30%,7.10%,0.98,3.29,3.86,74,4.62,3.8,4.76,90,111,1.1,0.209,1.2,0.94,30.40%,70.90%,47.20%,62.50%,83.50%,75.60%,41.50%,54.10%,11.50%,22.30%,10.80%,22713
Yusmeiro Petit,71,4.31,1.52,1.39,0.214,37.20%,10.50%,0.82,3.3,3.94,79,5.03,4.77,5.39,114,125,-0.1,0.219,1,1.84,33.50%,76.70%,51.60%,76.80%,81.80%,79.90%,41.80%,62.10%,10.30%,12.10%,4.30%,4020
Daniel Hudson,43.2,12.98,2.68,1.24,0.298,29.30%,11.80%,0.57,3.3,2.95,80,2.63,2.96,3.25,69,76,1,0.209,1.08,1.13,32.80%,79.70%,52.70%,52.20%,79.80%,69.90%,42.40%,60.80%,15.90%,35.80%,7.40%,7146
Josh Staumont,57,10.42,3.95,0.95,0.255,38.50%,9.40%,0.86,3.32,4.03,75,3.73,3.64,4.27,86,100,0.8,0.196,1.16,2.17,27.60%,64.80%,43.20%,60.80%,83.30%,74.90%,42.00%,58.90%,10.80%,28.00%,10.60%,18335
Blake Taylor,38,9,4.26,1.18,0.274,40.40%,10.00%,0.88,3.32,3.14,79,4.35,4.29,4.93,102,115,0.2,0.228,1.37,-0.96,27.10%,71.00%,45.10%,62.90%,84.80%,77.00%,41.00%,49.10%,10.40%,22.80%,10.80%,16418
Adam Morgan,21.2,9.55,4.15,1.66,0.25,50.00%,21.10%,1.47,3.32,3.16,80,3.93,4.82,3.99,116,94,-0.1,0.215,1.25,0.63,33.80%,61.30%,45.50%,49.30%,82.60%,68.30%,42.40%,59.60%,14.40%,25.80%,11.20%,12580
Anthony DeSclafani,146,8.45,2.47,1.11,0.266,45.20%,12.00%,1.23,3.33,3.75,83,4.09,3.75,3.98,93,94,2.4,0.224,1.12,1.94,31.60%,69.10%,48.50%,60.80%,86.90%,77.60%,45.10%,66.20%,10.90%,23.10%,6.80%,13050
Jacob Webb,27,8.67,2.67,1,0.308,34.20%,9.70%,0.87,3.33,3.64,79,3.92,3.68,4.28,88,101,0.2,0.252,1.3,-0.31,36.30%,78.00%,54.00%,65.90%,74.50%,71.20%,42.60%,62.90%,15.60%,22.40%,6.90%,19274
Clayton Kershaw,110.2,10.73,1.63,1.06,0.279,47.60%,13.80%,1.39,3.33,3.24,84,3.09,2.93,2.91,70,68,3.1,0.213,0.98,0.8,36.00%,70.00%,50.60%,47.40%,80.90%,67.40%,43.10%,63.40%,16.50%,30.00%,4.50%,2036
Taylor Rogers,40.1,13.17,1.79,0.89,0.358,50.00%,13.80%,1.66,3.35,2.58,76,2.2,2.12,2.11,50,50,1.6,0.241,1.14,0.77,38.20%,62.50%,49.30%,63.90%,80.90%,73.70%,45.70%,70.50%,12.90%,35.50%,4.80%,13449
Shohei Ohtani,115.1,10.61,3.2,0.94,0.275,44.20%,12.00%,1.25,3.36,3.38,78,3.71,3.43,3.62,80,85,2.7,0.208,1.12,1.89,29.50%,69.10%,47.50%,54.30%,83.20%,73.40%,45.40%,58.80%,12.60%,28.80%,8.70%,19755
Kyle Gibson,160,7.03,3.32,0.68,0.276,51.90%,8.80%,1.79,3.38,3.8,79,4.63,3.79,4.33,89,102,2.7,0.233,1.24,1.91,31.10%,69.00%,44.30%,64.80%,88.70%,77.70%,34.70%,59.20%,9.90%,18.90%,8.90%,10123
Dillon Peters,18.2,7.23,3.38,0.48,0.281,48.30%,4.80%,1.33,3.38,3.97,82,4.8,3.54,4.84,84,115,0.4,0.233,1.29,0.02,32.30%,72.00%,49.80%,68.50%,81.10%,76.50%,44.10%,71.60%,11.70%,18.50%,8.60%,18790
Dietrich Enns,16,10.69,2.81,0,0.326,30.20%,0.00%,0.62,3.38,2.8,81,3.42,1.73,4.06,43,95,0.4,0.226,1.19,0.07,42.00%,77.10%,58.80%,68.30%,87.10%,80.10%,47.80%,67.20%,11.70%,28.40%,7.50%,13932
Brett Martin,56,5.79,2.09,0.8,0.299,56.80%,10.90%,2.28,3.38,3.51,78,4.01,3.73,4.04,89,94,0.4,0.267,1.3,0.56,36.60%,75.60%,53.60%,67.10%,85.70%,78.60%,43.70%,66.00%,11.50%,15.10%,5.50%,17369
Darren O'Day,10.2,9.28,3.38,1.69,0.25,26.70%,14.30%,0.57,3.38,4.59,78,4.09,4.94,4.84,112,113,0,0.22,1.22,0.1,31.30%,71.60%,47.10%,58.30%,83.00%,73.00%,39.20%,47.80%,12.70%,23.90%,8.70%,3321
Richard Bleier,50.2,7.11,0.71,0.71,0.302,65.30%,18.20%,4.45,3.38,3,86,2.52,3.02,2.77,73,65,0.8,0.254,1.05,0.21,41.00%,70.40%,55.90%,71.40%,87.30%,81.60%,50.60%,70.50%,10.30%,20.00%,2.00%,7803
Alek Manoah,93,9.87,3,1.06,0.238,40.30%,12.00%,1.04,3.39,3.46,76,3.91,3.89,4.12,96,96,1.4,0.191,1.03,0.33,31.50%,70.50%,47.60%,63.20%,82.10%,74.70%,41.20%,56.40%,12.00%,26.60%,8.10%,26410
Michael Fulmer,61,9.3,2.51,1.03,0.324,48.00%,12.70%,1.55,3.39,3.94,77,3.57,3.62,3.73,83,87,1.2,0.258,1.3,0.3,34.80%,70.80%,49.10%,58.60%,84.00%,73.20%,39.70%,57.90%,13.20%,24.10%,6.50%,13218
Trevor Richards,58.1,11.42,2.93,1.7,0.211,26.50%,16.70%,0.53,3.39,3.64,79,3.08,4.05,3.62,98,85,0.3,0.178,0.96,0.23,33.70%,70.30%,46.80%,58.70%,79.30%,69.80%,35.80%,57.30%,14.10%,32.60%,8.40%,19309
Lou Trivino,63.1,7.67,4.55,0.71,0.244,48.00%,8.80%,1.47,3.41,4.35,82,4.67,4.19,4.76,100,111,0.2,0.203,1.25,-0.14,26.90%,74.00%,46.00%,69.50%,83.70%,78.80%,40.50%,60.30%,9.80%,20.20%,12.00%,15043
Hector Santiago,26.1,10.25,3.76,0.68,0.338,44.70%,6.90%,1.17,3.42,2.84,82,3.82,3.12,4.1,74,96,0.4,0.255,1.44,-0.14,35.10%,71.90%,50.30%,64.40%,82.90%,75.30%,41.30%,65.00%,12.40%,25.60%,9.40%,4026
John Means,126.1,8.12,1.64,1.78,0.232,32.10%,14.50%,0.66,3.42,4.08,79,4.14,4.57,4.44,102,103,2.1,0.217,1,1.5,32.10%,73.00%,49.90%,68.90%,79.40%,75.60%,43.50%,69.70%,12.20%,22.70%,4.60%,16269
Jeffrey Springs,44.2,12.69,2.82,1.81,0.28,34.30%,21.40%,0.81,3.43,3.31,82,2.66,3.9,2.96,95,69,0.3,0.212,1.1,-0.37,34.40%,64.60%,46.20%,51.60%,77.90%,66.00%,39.10%,63.70%,15.70%,35.20%,7.80%,17677
Luis Garcia,139,10.23,2.72,1.1,0.285,38.20%,11.50%,0.93,3.43,3.86,82,3.69,3.45,3.76,83,88,3,0.222,1.14,1.27,33.10%,66.20%,47.00%,55.40%,81.50%,70.80%,42.00%,60.80%,13.70%,27.90%,7.40%,23735
Hector Neris,62.2,11.78,3.59,1.29,0.27,45.90%,15.30%,1.15,3.45,2.73,83,3.2,3.8,3.61,87,85,0.7,0.203,1.15,-0.28,36.00%,68.10%,48.80%,56.80%,76.40%,67.70%,39.80%,60.20%,15.70%,31.40%,9.60%,11804
Kyle Funkhouser,60,8.4,4.95,0.6,0.274,56.10%,9.10%,2.09,3.45,4.05,78,4.48,3.96,4.4,91,103,0.6,0.219,1.37,1.72,29.30%,67.00%,44.40%,61.00%,84.50%,75.20%,40.00%,57.70%,11.00%,21.50%,12.70%,19456
John Curtiss,44.1,8.93,2.44,1.22,0.29,40.30%,12.80%,1.11,3.45,3.83,86,3.7,3.82,3.94,92,93,0.2,0.241,1.22,-0.45,32.30%,70.20%,49.50%,56.50%,84.80%,74.70%,45.40%,66.30%,12.50%,23.50%,6.40%,16128
Andres Machado,28.2,7.22,3.45,0.63,0.274,46.50%,6.70%,1.33,3.45,3.38,81,4.48,4.03,4.99,94,118,0.2,0.229,1.26,-0.88,26.30%,66.50%,44.80%,70.40%,83.70%,79.50%,46.00%,53.20%,9.20%,18.50%,8.90%,14681
Max Fried,142.2,9.02,2.52,0.95,0.297,49.60%,13.50%,1.73,3.47,3.8,82,3.83,3.51,3.53,84,83,2.9,0.238,1.18,0.25,32.10%,66.90%,47.80%,59.20%,87.30%,77.00%,45.30%,64.50%,11.00%,24.30%,6.80%,13743
Corey Oswalt,10.1,8.71,1.74,0.87,0.379,20.70%,7.70%,0.46,3.48,5.61,88,3.92,3.07,4.05,73,96,0.2,0.3,1.35,-0.1,42.30%,78.00%,55.80%,58.50%,82.60%,71.30%,37.80%,76.20%,16.00%,23.80%,4.80%,13677
Yohan Ramirez,20.2,11.32,3.05,1.74,0.171,41.90%,19.00%,0.86,3.48,2.67,83,3,4.32,3.62,102,85,0.1,0.155,0.87,0.29,29.90%,68.30%,46.00%,44.20%,75.60%,63.80%,42.00%,53.20%,16.70%,32.90%,8.90%,19444
Richard Lovelady,20.2,10.02,2.61,1.31,0.255,56.60%,20.00%,2,3.48,2.36,78,3.1,3.84,3.24,91,76,0.2,0.208,1.06,0.4,31.10%,65.50%,47.30%,42.30%,87.60%,71.80%,47.00%,67.90%,13.30%,27.40%,7.10%,19337
Charlie Morton,165,10.47,2.78,0.87,0.268,48.50%,14.30%,1.77,3.49,3.31,83,3.51,3.3,3.24,78,76,3.8,0.203,1.05,1.43,31.10%,64.60%,45.70%,54.60%,84.60%,73.10%,43.60%,59.10%,12.30%,28.50%,7.60%,4676
Jose Urquidy,84.2,7.65,1.7,1.28,0.247,31.40%,10.80%,0.68,3.51,3.62,84,4.29,3.91,4.4,93,103,1.7,0.219,1.02,0.74,33.00%,72.40%,53.50%,66.80%,82.80%,78.10%,52.10%,65.80%,11.70%,21.40%,4.80%,18413
Spencer Patton,33.1,9.99,3.78,0.81,0.293,41.20%,9.10%,1.06,3.51,3.21,81,3.74,3.37,3.96,80,93,0.4,0.221,1.23,-0.5,29.30%,67.10%,45.00%,68.00%,80.90%,76.00%,41.40%,56.60%,10.80%,27.20%,10.30%,12361
Austin Adams,48.2,12.95,5.92,0,0.25,36.20%,0.00%,0.87,3.51,3.72,87,3.85,3.68,5.1,88,121,0.3,0.145,1.15,0.46,28.00%,62.10%,40.20%,46.30%,83.20%,66.70%,35.70%,49.30%,13.40%,31.70%,14.50%,13801
Jose Berrios,166.1,9.58,2.27,1.03,0.286,42.40%,12.70%,1.26,3.52,4.14,80,3.71,3.51,3.63,83,85,3.4,0.227,1.11,1.66,33.70%,64.50%,46.70%,68.70%,85.80%,78.60%,42.10%,64.90%,10.00%,26.00%,6.20%,14168
John King,46,7.83,2.35,0.59,0.284,57.00%,11.50%,2.96,3.52,3.33,81,3.42,3.31,3.47,79,81,0.6,0.232,1.15,-0.01,36.50%,71.40%,50.00%,66.70%,83.30%,75.90%,38.60%,61.10%,12.10%,20.70%,6.20%,22051
Josh Taylor,46,11.35,4.3,0.39,0.359,41.50%,5.40%,1.32,3.52,4.44,78,3.63,2.84,3.7,67,87,1,0.249,1.43,1.4,32.20%,72.30%,49.40%,45.40%,81.50%,68.10%,42.90%,60.90%,15.80%,28.70%,10.90%,17359
Keegan Thompson,48.1,8.94,5.21,1.49,0.269,41.30%,16.00%,1.14,3.54,5.54,86,4.75,5.13,4.82,123,114,-0.3,0.232,1.49,-0.08,28.30%,71.00%,46.90%,64.00%,86.20%,78.70%,43.60%,58.40%,10.00%,21.90%,12.80%,19795
Tanner Houck,53.1,10.63,2.53,0.68,0.328,46.40%,8.70%,1.39,3.54,3.7,78,3.5,2.96,3.52,70,82,1.5,0.24,1.2,0.4,31.10%,69.90%,47.10%,58.40%,82.10%,72.90%,41.30%,59.60%,12.80%,28.00%,6.70%,19879
Deolis Guerra,55.2,8.25,2.75,0.81,0.238,34.40%,6.80%,0.7,3.56,3.05,85,4.04,3.58,4.77,86,111,0.5,0.197,1.02,0.23,34.70%,72.80%,48.80%,62.40%,84.40%,74.60%,37.10%,56.50%,12.40%,22.90%,7.60%,8410
Victor Gonzalez,35.1,8.41,4.84,0.76,0.299,55.70%,15.00%,2.7,3.57,4.59,90,4.32,4.27,4.17,102,99,0.1,0.241,1.44,0.09,35.00%,59.30%,44.30%,56.70%,90.60%,74.10%,38.40%,66.50%,11.50%,21.30%,12.30%,16408
Bryan Shaw,68,8.87,4.76,1.19,0.277,45.00%,15.80%,1.51,3.57,4.44,80,4.42,4.54,4.32,106,101,-0.1,0.231,1.41,0.65,29.80%,76.20%,48.40%,59.50%,85.10%,75.60%,40.10%,55.60%,11.80%,22.60%,12.10%,8110
Nathan Eovaldi,163.2,9.4,1.65,0.77,0.317,41.20%,8.60%,1.19,3.57,3.43,79,3.63,2.86,3.51,68,82,4.9,0.248,1.15,1.72,33.60%,70.80%,51.40%,59.30%,84.10%,75.60%,47.80%,65.50%,12.50%,25.20%,4.40%,9132
Frankie Montas,163.2,9.95,2.58,0.99,0.306,41.50%,11.30%,1.15,3.57,4,86,3.75,3.33,3.63,80,85,3.6,0.238,1.2,0.8,35.20%,71.40%,50.40%,58.10%,82.40%,72.60%,41.90%,66.30%,13.80%,26.70%,6.90%,14309
Shane McClanahan,110.1,10.44,2.77,0.98,0.336,44.10%,13.60%,1.49,3.59,4.79,86,3.63,3.24,3.24,79,76,2.4,0.254,1.3,0.94,35.30%,68.80%,50.20%,48.70%,83.70%,70.10%,44.50%,63.40%,15.00%,27.50%,7.30%,21483
Jose Suarez,82.2,8.27,3.38,0.98,0.271,50.60%,12.00%,1.59,3.59,3.78,83,4.26,3.97,4.17,92,97,1.1,0.226,1.23,0.79,31.50%,69.70%,46.40%,64.90%,81.40%,74.50%,38.80%,59.20%,11.80%,21.80%,8.90%,19911
Tucker Davidson,20,8.1,3.6,1.35,0.222,41.10%,14.30%,1.1,3.6,5.99,85,4.65,4.51,4.43,108,105,0.2,0.2,1.15,0.26,31.90%,69.30%,48.80%,50.90%,87.40%,74.30%,45.20%,55.40%,12.50%,21.70%,9.60%,19871
Wily Peralta,70,5.66,3.47,1.41,0.252,52.50%,16.20%,1.72,3.6,4.75,81,5.14,5.19,4.88,119,114,0.4,0.242,1.31,0.71,27.30%,70.10%,43.90%,68.90%,87.50%,80.40%,38.80%,54.40%,8.60%,14.80%,9.10%,7738
Daulton Jefferies,15,4.8,2.4,0.6,0.227,44.40%,6.70%,1.33,3.6,4.05,86,4.94,3.96,4.88,95,114,0.1,0.208,1,0.19,36.50%,70.20%,50.90%,73.90%,90.90%,83.90%,42.70%,72.40%,8.20%,13.80%,6.90%,19345
Connor Brogdon,55,7.36,2.95,0.98,0.252,45.60%,10.00%,1.22,3.6,3.09,86,4.24,3.98,4.5,91,107,0.6,0.218,1.15,0.5,33.00%,78.10%,52.30%,69.60%,79.10%,75.60%,42.70%,60.00%,12.70%,20.00%,8.00%,21205
Ian Anderson,109.2,8.78,3.86,0.98,0.279,50.30%,13.80%,1.71,3.61,4.35,85,4.39,3.95,3.94,94,93,1.8,0.228,1.29,0.74,28.60%,70.00%,45.60%,59.90%,82.10%,73.80%,40.90%,58.50%,11.90%,23.00%,10.10%,19951
Patrick Sandoval,87,9.72,3.72,1.14,0.266,51.10%,15.90%,1.68,3.62,3.59,84,4.03,4.02,3.79,93,89,1.5,0.214,1.21,0.91,33.90%,66.50%,46.40%,52.80%,79.10%,67.30%,38.50%,57.90%,15.20%,25.90%,9.90%,19447
Kodi Whitley,17.1,7.79,4.67,0.52,0.196,40.40%,5.60%,1.06,3.63,3.94,90,4.76,3.74,4.84,90,115,0.1,0.161,1.1,-0.06,35.50%,75.70%,51.60%,64.40%,81.00%,74.10%,40.10%,59.20%,13.40%,21.10%,12.70%,19731
Ian Kennedy,47,10.34,2.3,2.11,0.274,26.80%,18.30%,0.55,3.64,4.29,86,3.35,4.8,4.03,112,95,-0.1,0.236,1.15,2.73,30.80%,79.10%,54.80%,61.20%,81.70%,75.90%,49.70%,69.30%,13.20%,28.10%,6.30%,6986
Chris Rodriguez,29.2,8.8,4.55,0,0.326,54.70%,0.00%,2.35,3.64,3.51,84,4.3,3.13,4.33,73,101,0.5,0.243,1.45,0.16,30.90%,58.80%,41.60%,62.50%,86.80%,75.70%,38.40%,60.40%,10.10%,21.60%,11.20%,22310
Miguel Diaz,42,9.86,4.07,1.71,0.232,41.50%,22.20%,1.22,3.64,5.22,90,3.91,4.81,3.85,115,91,-0.1,0.203,1.19,0.38,23.70%,68.00%,43.00%,67.70%,88.80%,82.30%,43.60%,62.80%,7.60%,26.70%,11.00%,18815
