Name,IP,K/9,BB/9,HR/9,BABIP,GB%,HR/FB,GB/FB,ERA,xERA,ERA-,SIERA,FIP,xFIP,FIP-,xFIP-,WAR,AVG,WHIP,WPA,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,K%,BB%,playerid
Jordan Romano,55,11.78,3.27,1.15,0.262,47.70%,14.00%,1.22,2.45,2.6,55,3.01,3.29,3.25,81,76,0.8,0.194,1.07,3.07,33.10%,71.60%,49.90%,57.60%,80.40%,71.90%,43.70%,66.50%,14.10%,32.60%,9.00%,16122
Brandon Woodruff,163.1,10.52,2.26,0.94,0.256,42.90%,13.40%,1.35,2.48,3.29,59,3.34,3.04,3.07,72,72,4.1,0.196,0.97,3.49,34.90%,69.40%,50.70%,64.70%,80.90%,74.90%,45.80%,65.90%,12.80%,29.60%,6.40%,16162
JT Chargois,47,8.04,2.87,0.77,0.25,45.20%,8.70%,1.22,2.49,3.86,60,3.95,3.76,4.39,90,102,0.4,0.205,1.04,0.67,30.10%,70.00%,46.00%,61.40%,84.90%,75.70%,40.00%,57.00%,11.20%,22.60%,8.10%,13767
Jarlin Garcia,61.1,9.54,2.49,1.17,0.208,44.00%,15.10%,1.25,2.49,2.98,62,3.3,3.67,3.51,91,83,0.4,0.175,0.9,0.18,27.30%,64.40%,45.50%,64.20%,84.30%,78.20%,49.20%,59.70%,9.90%,27.50%,7.20%,18282
Lance Lynn,140.2,10.3,2.69,1.02,0.255,36.50%,10.00%,0.83,2.5,2.6,58,3.7,3.29,3.84,76,90,3.7,0.2,1.05,3.04,31.30%,73.40%,49.40%,64.70%,82.20%,75.90%,43.00%,58.20%,11.90%,28.00%,7.30%,2520
Danny Duffy,61,9.59,3.25,0.89,0.289,33.30%,8.20%,0.75,2.51,4.26,57,4.14,3.39,4.24,81,99,1.7,0.226,1.21,1.14,34.80%,66.80%,48.50%,57.70%,81.60%,71.80%,42.70%,57.50%,13.70%,25.80%,8.70%,3542
Luis Cessa,53.2,7.04,3.02,0.5,0.272,52.80%,6.70%,1.87,2.52,3.64,58,4.12,3.33,4.1,76,96,0.8,0.227,1.19,0.56,32.10%,67.30%,46.60%,58.70%,88.30%,76.30%,41.40%,62.90%,11.00%,19.00%,8.10%,13345
Chris Sale,25,10.8,2.16,1.44,0.379,49.30%,19.00%,1.62,2.52,3.05,56,3.39,3.92,3.34,92,78,0.4,0.29,1.4,0.32,37.20%,67.00%,50.10%,65.20%,76.20%,71.60%,43.20%,72.50%,14.30%,27.50%,5.50%,10603
Jesse Chavez,25,11.16,2.52,0,0.323,45.20%,0.00%,1.75,2.52,3.59,60,2.87,1.52,2.66,35,62,0.8,0.215,1.08,-0.23,29.30%,63.20%,44.50%,74.60%,89.10%,83.80%,44.70%,69.00%,7.20%,31.00%,7.00%,5448
Erik Swanson,32,8.44,2.25,1.41,0.217,31.80%,10.90%,0.61,2.53,2.86,60,3.94,4.16,4.69,98,109,0.3,0.195,0.97,-0.36,34.40%,77.80%,53.50%,66.00%,80.20%,75.10%,43.90%,57.50%,13.30%,23.60%,6.30%,16587
Ryne Harper,32,7.31,3.38,0.84,0.193,41.70%,9.40%,1.09,2.53,3.62,60,4.39,4.07,4.63,95,110,0.2,0.17,0.97,-0.07,30.60%,65.20%,46.60%,68.30%,84.70%,78.90%,46.20%,69.80%,9.80%,20.60%,9.50%,12680
Kent Emanuel,17.2,6.62,2.04,2.04,0.174,50.00%,23.50%,1.47,2.55,3.14,61,3.98,5.48,4.25,130,99,-0.1,0.19,0.91,0.07,25.80%,63.00%,42.50%,82.40%,91.20%,88.20%,45.00%,64.70%,5.00%,19.10%,5.90%,15849
Packy Naughton,14,5.79,4.5,0,0.283,51.10%,0.00%,2.3,2.57,3.02,60,5.2,3.38,4.65,78,108,0.3,0.236,1.43,0.15,39.70%,75.40%,51.20%,72.20%,83.70%,77.70%,32.30%,62.90%,11.40%,14.50%,11.30%,23292
Alex Vesia,35,12.34,4.63,1.29,0.125,26.10%,11.60%,0.42,2.57,2.58,65,3.46,3.91,4.24,93,100,0.3,0.111,0.89,0.9,29.50%,71.90%,48.00%,57.60%,65.50%,62.80%,43.70%,51.50%,17.90%,35.30%,13.20%,25007
